Customer_ID;Name;Sex;Age;Occupation;Annual_Income;Monthly_Inhand_Salary
3392;Aaron Maashoh;M;23;Ciencias Varias;19114.12;1824.84
8625;Rick Rothackerj;M;28;Profesor;34847.84;3037.99
11708;Langep;F;34;Ingeniero;143162.64;12187.22
47249;Jasond;M;54;Emprendedor / Independiente;30689.89;2612.49
7387;Deepaa;F;21;Informático;35547.71;2853.31
38382;Np;M;31;Abogado / Notario / Escribano;73928.46;5988.71
10314;Nadiaq;F;33;Abogado / Notario / Escribano;131313.4;11242.78
21511;Annk;M;30;Varios;34081.38;2611.12
16727;Charlie Zhur;M;23;Doctor;114838.41;9843.87
47624;Jamesj;M;44;Periodismo;31370.8;2825.23
42603;Saphirj;M;40;Profesor;33751.27;2948.61
49323;Soyoungd;M;32;Ingeniero;88640.24;7266.69
15941;Harriet McLeodd;M;35;Emprendedor / Independiente;54392.16;4766.68
27750;Sinead Carews;M;39;Admnistración;8701.55;519.13
4084;Malonimaf;F;36;Emprendedor / Independiente;25546.26;2415.86
13266;Chalmersa;F;30;Ciencias Varias;31993.78;2942.15
24688;Parkm;M;20;Contador;92047.08;7591.59
4059;Patrickg;M;45;Profesor;32284.62;2898.39
13651;Laurence Frosty;M;26;Artes;97791.42;8079.29
16640;Reema;M;31;Emprendedor / Independiente;19300.34;1512.36
4911;Mark Felsenthald;M;41;Artes;19514.88;1828.24
41326;Lee Chyenz;M;41;Varios;10183.02;1074.58
44166;Nickb;M;19;Emprendedor / Independiente;106733.13;8873.43
23368;McBrideq;M;31;Abogado / Notario / Escribano;12600.45;782.04
42489;Rickt;M;34;Mecánico;57983.12;4720.93
19779;Reijik;F;48;Emprendedor / Independiente;20787.69;1999.31
47455;Ashleyk;F;30;Varios;34290.12;2697.51
16092;Williamso;F;32;Contador;43070.24;3622.19
49150;Dhanya Skariachano;F;40;Arquitectura;28572.39;2210.03
46721;Sarahb;F;37;Admnistración;39641.54;3007.46
39537;Mukhopadhyayc;F;54;Ciencias Varias;20186.02;1684.17
24648;Ayeshaz;F;43;Artes;18627.64;1387.3
38325;Lisa Baertleinu;F;21;Ingeniero;12986.75;959.23
16388;Carlosj;F;43;Varios;58317;4664.75
45313;Andreas Cremerf;F;36;Ciencias Varias;42171.98;3764.33
39828;Bri;F;36;Admnistración;71681.4;5799.45
16512;ra Alperx;F;20;Mecánico;29469.98;2227.83
28778;Matt Falloonz;F;19;Ingeniero;72559.36;6284.61
17068;Lawrencea;F;36;Artes;15566.02;1423.17
22303;Emily Flitterl;F;18;Informático;66567.32;5800.28
46591;Nateg;M;32;Varios;12909.9;853.82
27163;Toonkeln;M;33;Contador;30788.44;2623.7
39873;Jaisinghanij;M;42;Arquitectura;20574.47;1740.54
3173;Pomeroyi;M;21;Abogado / Notario / Escribano;148699.32;12432.61
44763;Olivia Oranr;M;19;Artes;85554.03;7185.5
36507;Rachelle Younglaic;M;18;Emprendedor / Independiente;55829.79;4369.48
24733;Shupingu;M;27;Arquitectura;14165.23;1057.44
30150;"John ODonnell""p";M;30;Profesor;87215.68;7489.97
39740;Scheydere;M;43;Abogado / Notario / Escribano;81842.28;6810.19
8867;Nate Raymondj;M;38;Doctor;95956.5;8279.38
2836;Edwardk;M;25;Admnistración;49967.01;4091.92
